DATE,NO,SI_NO,CLIENT_NAME,TOTAL_AMOUNT,MATCH_LEVEL,MATCHED_SAASANT_INDEX,MATCH_TYPE
2024-05-02,1177,372338.0,FROST BROS ICE CO INC,1200.0,1,2051,Reference No
2024-05-02,1178,370912.0,18 FOLDS PH CORP,550.0,1,1831,Reference No
2024-05-02,1179,370915.0,MAX'S KITCHEN INC,350.0,,,
2024-05-02,1180,372174.0,YOSHINOYA,350.0,1,2050,Reference No
2024-05-02,730189,371565.0,GAB-BRIELLA'S WRS,450.0,1,2464,Reference No
2024-05-02,730190,371566.0,JB & JK WRS,450.0,1,2463,Reference No
2024-05-02,730191,371567.0,KIRKINS BESTAQUA WRS,450.0,1,2462,Reference No
2024-05-02,730192,371568.0,MALIWAY WRS,450.0,1,2469,Reference No
2024-05-02,730193,371569.0,PEEK WRS,450.0,1,2468,Reference No
2024-05-02,730194,371570.0,PURRE WRS,450.0,1,2467,Reference No
2024-05-02,730195,371571.0,SURE PURE WRS,450.0,1,2466,Reference No
2024-05-02,730196,371572.0,AKWA VEEDA WRS,450.0,1,2465,Reference No
2024-05-02,730197,371573.0,BLUE SPRING WRS,450.0,1,2470,Reference No
2024-05-02,730198,371574.0,FONTANNE CLAIRE ATM FAUCET FINISHED PRODUCT,2700.0,1,2473,Reference No
2024-05-02,730199,371575.0,BEEROCK 3 IN 1 WRS,450.0,1,2472,Reference No
2024-05-02,730200,371576.0,WATERLILAY,450.0,1,2471,Reference No
2024-05-02,1503,372370.0,ABSOCLEAR,2550.0,,,
2024-05-02,1504,372364.0,ROBINSON SUPERMARKET CORPORATION,550.0,,,
2024-05-02,1505,372358.0,MILLENIAL WRS,2550.0,,,
2024-05-02,1506,372365.0,ZHAIMES WRS,550.0,,,
2024-05-02,1507,372360.0,NIXON LIONN 15 WRS,2550.0,,,
2024-05-02,1508,372352.0,JJA FILTRATION & RS,2550.0,,,
2024-05-02,1509,372345.0,ROYAL SPRING RS,550.0,,,
2024-05-02,1510,372349.0,WATER WHIZ WR,2550.0,,,
2024-05-02,1511,372369.0,PARTNER'S WRS,2550.0,,,
2024-05-02,1512,372371.0,3G AQUA FLESH WRS,550.0,,,
2024-05-02,1513,373357.0,JJMM RESORT,2550.0,,,
2024-05-02,1514,372357.0,GEO PURE WRS,2550.0,,,
2024-05-02,1515,372344.0,RIC WELL PDW,2550.0,,,
2024-05-02,1516,372356.0,DRIPZ DRINKING WATER,2550.0,,,
2024-05-02,1517,372366.0,AKMM WRS,2550.0,,,
2024-05-02,1518,372362.0,WATER SOURCE FOR HAVEN,550.0,,,
2024-05-02,1519,372373.0,HAVEN HOTEL,550.0,,,
2024-05-02,1520,373372.0,HAVEN HOTEL,550.0,,,
2024-05-02,1521,372355.0,PASIGUEÑO WRS,550.0,,,
2024-05-02,1522,372368.0,ANULING ILAYA NEW WATER SYSTEM,1100.0,,,
2024-05-02,1523,372363.0,QUATTRO BAMBINA WRS,2550.0,,,
2024-05-02,1524,372351.0,AQUA ANULING WRS,550.0,,,
2024-05-02,1525,372354.0,WELL OF LIFE PWS,2550.0,,,
2024-05-02,1526,272354.0,UNICA BIDA PWRS,2550.0,,,
2024-05-02,1527,372347.0,PALOCPOC WATERWORKS ASSN.,2200.0,,,
2024-05-02,1528,372350.0,AQUA SERV,550.0,,,
2024-05-02,1529,372361.0,LIELEX WRS,2550.0,,,
2024-05-02,1530,372348.0,LELIES WATER SUPPLY,2550.0,,,
2024-05-02,1531,372376.0,NANAY DORIES,550.0,,,
2024-05-02,1532,372375.0,LESLIES RIDGE,550.0,,,
2024-05-02,1533,372374.0,LESLIES RESTAURANT,550.0,,,
2024-05-02,1534,373380.0,LE ANTONIO'S FARM,500.0,,,
2024-05-02,1535,373379.0,RAMOS RESIDENCE PRIVATE RESORT,500.0,,,
2024-05-02,1536,373376.0,SONYAS GARDEN,1500.0,,,
2024-05-02,1537,373377.0,ZEN ZEN,500.0,,,
2024-05-02,1538,373378.0,QUEEN ENGLISH GARDEN,500.0,,,
2024-05-02,1539,373375.0,ADEL'S PRODUCT,500.0,,,
2024-05-02,1540,373381.0,RESTO KELUAGA,500.0,,,
2024-05-02,724849,371577.0,BENDITA WRS,450.0,1,2345,Reference No
2024-05-02,724850,371579.0,ISLA AGUA WRS,450.0,1,2344,Reference No
2024-05-02,726947,371580.0,HYDRO ACTIVE WRS,450.0,1,2373,Reference No
2024-05-02,726948,371581.0,AGOS WRS SPRING,2950.0,1,2377,Reference No
2024-05-02,726949,371582.0,STREAM WRS,2950.0,1,2376,Reference No
2024-05-02,730477,371160.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2485,Reference No
2024-05-02,730478,371161.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2484,Reference No
2024-05-02,730479,371162.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2483,Reference No
2024-05-02,730480,371163.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2482,Reference No
2024-05-02,730481,371160.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,,,
2024-05-02,730482,371158.0,BGS ICE PLANT,600.0,1,2490,Reference No
2024-05-02,730483,371192.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2489,Reference No
2024-05-02,730484,,VILLAGES WATER SUPPLY SYSTEM INC,120.0,,,
2024-05-02,730485,371193.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2488,Reference No
2024-05-02,730486,371194.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,1,2487,Reference No
2024-05-02,730487,371161.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,,,
2024-05-02,730488,373733.0,MARTHINA'S CAFÉ BY COCO CORNE,500.0,1,2144,Reference No
2024-05-02,2651,371078.0,JOY,435.0,,,
2024-05-02,2652,371096.0,WIAN,435.0,,,
2024-05-02,2653,371157.0,SPLASHING,435.0,,,
2024-05-02,2654,371077.0,MINATSU,435.0,,,
2024-05-02,2655,373736.0,CHEL-VIN,435.0,,,
2024-05-02,2656,371089.0,SPARKLEE,435.0,,,
2024-05-02,2657,371080.0,SUNLIGHT SPRING,435.0,,,
2024-05-02,2658,371079.0,ANGEL FRESH,435.0,,,
2024-05-02,2659,371154.0,MADIE,435.0,,,
2024-05-02,2660,371082.0,ZANA Q,435.0,,,
2024-05-02,2661,373737.0,RAJ SPARKLING,435.0,,,
2024-05-02,2662,371092.0,ALMARES,435.0,,,
2024-05-02,2663,371095.0,GISELLE,435.0,,,
2024-05-02,2664,371091.0,H5O AQUA TORCH,435.0,,,
2024-05-02,2665,371094.0,WATER WONDER,435.0,,,
2024-05-02,2666,373738.0,JADE,435.0,,,
2024-05-02,2667,371083.0,RAYWORLD,435.0,,,
