DATE,NO,SI_NO,CLIENT_NAME,TOTAL_AMOUNT
2024-05-02,1177.0,372338.0,FROST BROS ICE CO INC,1200.0
2024-05-02,1178.0,370912.0,18 FOLDS PH CORP,550.0
2024-05-02,1179.0,370915.0,MAX'S KITCHEN INC,350.0
2024-05-02,1180.0,372174.0,YOSHINOYA,350.0
2024-05-02,730189.0,371565.0,GAB-BRIELLA'S WRS,450.0
2024-05-02,730190.0,371566.0,JB & JK WRS,450.0
2024-05-02,730191.0,371567.0,KIRKINS BESTAQUA WRS,450.0
2024-05-02,730192.0,371568.0,MALIWAY WRS,450.0
2024-05-02,730193.0,371569.0,PEEK WRS,450.0
2024-05-02,730194.0,371570.0,PURRE WRS,450.0
2024-05-02,730195.0,371571.0,SURE PURE WRS,450.0
2024-05-02,730196.0,371572.0,AKWA VEEDA WRS,450.0
2024-05-02,730197.0,371573.0,BLUE SPRING WRS,450.0
2024-05-02,730198.0,371574.0,FONTANNE CLAIRE ATM FAUCET FINISHED PRODUCT,2700.0
2024-05-02,730199.0,371575.0,BEEROCK 3 IN 1 WRS,450.0
2024-05-02,730200.0,371576.0,WATERLILAY,450.0
2024-05-02,1503.0,372370.0,ABSOCLEAR,2550.0
2024-05-02,1504.0,372364.0,ROBINSON SUPERMARKET CORPORATION,550.0
2024-05-02,1505.0,372358.0,MILLENIAL WRS,2550.0
2024-05-02,1506.0,372365.0,ZHAIMES WRS,550.0
2024-05-02,1507.0,372360.0,NIXON LIONN 15 WRS,2550.0
2024-05-02,1508.0,372352.0,JJA FILTRATION & RS,2550.0
2024-05-02,1509.0,372345.0,ROYAL SPRING RS,550.0
2024-05-02,1510.0,372349.0,WATER WHIZ WR,2550.0
2024-05-02,1511.0,372369.0,PARTNER'S WRS,2550.0
2024-05-02,1512.0,372371.0,3G AQUA FLESH WRS,550.0
2024-05-02,1513.0,373357.0,JJMM RESORT,2550.0
2024-05-02,1514.0,372357.0,GEO PURE WRS,2550.0
2024-05-02,1515.0,372344.0,RIC WELL PDW,2550.0
2024-05-02,1516.0,372356.0,DRIPZ DRINKING WATER,2550.0
2024-05-02,1517.0,372366.0,AKMM WRS,2550.0
2024-05-02,1518.0,372362.0,WATER SOURCE FOR HAVEN,550.0
2024-05-02,1519.0,372373.0,HAVEN HOTEL,550.0
2024-05-02,1520.0,373372.0,HAVEN HOTEL,550.0
2024-05-02,1521.0,372355.0,PASIGUEÑO WRS,550.0
2024-05-02,1522.0,372368.0,ANULING ILAYA NEW WATER SYSTEM,1100.0
2024-05-02,1523.0,372363.0,QUATTRO BAMBINA WRS,2550.0
2024-05-02,1524.0,372351.0,AQUA ANULING WRS,550.0
2024-05-02,1525.0,372354.0,WELL OF LIFE PWS,2550.0
2024-05-02,1526.0,272354.0,UNICA BIDA PWRS,2550.0
2024-05-02,1527.0,372347.0,PALOCPOC WATERWORKS ASSN.,2200.0
2024-05-02,1528.0,372350.0,AQUA SERV,550.0
2024-05-02,1529.0,372361.0,LIELEX WRS,2550.0
2024-05-02,1530.0,372348.0,LELIES WATER SUPPLY,2550.0
2024-05-02,1531.0,372376.0,NANAY DORIES,550.0
2024-05-02,1532.0,372375.0,LESLIES RIDGE,550.0
2024-05-02,1533.0,372374.0,LESLIES RESTAURANT,550.0
2024-05-02,1534.0,373380.0,LE ANTONIO'S FARM,500.0
2024-05-02,1535.0,373379.0,RAMOS RESIDENCE PRIVATE RESORT,500.0
2024-05-02,1536.0,373376.0,SONYAS GARDEN,1500.0
2024-05-02,1537.0,373377.0,ZEN ZEN,500.0
2024-05-02,1538.0,373378.0,QUEEN ENGLISH GARDEN,500.0
2024-05-02,1539.0,373375.0,ADEL'S PRODUCT,500.0
2024-05-02,1540.0,373381.0,RESTO KELUAGA,500.0
2024-05-02,724849.0,371577.0,BENDITA WRS,450.0
2024-05-02,724850.0,371579.0,ISLA AGUA WRS,450.0
2024-05-02,726947.0,371580.0,HYDRO ACTIVE WRS,450.0
2024-05-02,726948.0,371581.0,AGOS WRS SPRING,2950.0
2024-05-02,726949.0,371582.0,STREAM WRS,2950.0
2024-05-02,730477.0,371160.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730478.0,371161.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730479.0,371162.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730480.0,371163.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730481.0,371160.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730482.0,371158.0,BGS ICE PLANT,600.0
2024-05-02,730483.0,371192.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730484.0,,VILLAGES WATER SUPPLY SYSTEM INC,120.0
2024-05-02,730485.0,371193.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730486.0,371194.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730487.0,371161.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0
2024-05-02,730488.0,373733.0,MARTHINA'S CAFÉ BY COCO CORNE,500.0
2024-05-02,2651.0,371078.0,JOY,435.0
2024-05-02,2652.0,371096.0,WIAN,435.0
2024-05-02,2653.0,371157.0,SPLASHING,435.0
2024-05-02,2654.0,371077.0,MINATSU,435.0
2024-05-02,2655.0,373736.0,CHEL-VIN,435.0
2024-05-02,2656.0,371089.0,SPARKLEE,435.0
2024-05-02,2657.0,371080.0,SUNLIGHT SPRING,435.0
2024-05-02,2658.0,371079.0,ANGEL FRESH,435.0
2024-05-02,2659.0,371154.0,MADIE,435.0
2024-05-02,2660.0,371082.0,ZANA Q,435.0
2024-05-02,2661.0,373737.0,RAJ SPARKLING,435.0
2024-05-02,2662.0,371092.0,ALMARES,435.0
2024-05-02,2663.0,371095.0,GISELLE,435.0
2024-05-02,2664.0,371091.0,H5O AQUA TORCH,435.0
2024-05-02,2665.0,371094.0,WATER WONDER,435.0
2024-05-02,2666.0,373738.0,JADE,435.0
2024-05-02,2667.0,371083.0,RAYWORLD,435.0
2024-05-02,2668.0,373739.0,PURESOL,435.0
2024-05-02,2669.0,371098.0,AQUA JELOU,435.0
2024-05-02,2670.0,371099.0,7 MILES,435.0
2024-05-02,2671.0,371093.0,AQUA ROSE,435.0
2024-05-02,2672.0,371156.0,JP SQUARE,435.0
2024-05-02,2673.0,371151.0,ZEB,435.0
2024-05-02,2674.0,371085.0,TRIS WATER,435.0
2024-05-02,2675.0,371090.0,LIEN,435.0
2024-05-02,2676.0,371097.0,OVER PLOWING,435.0
2024-05-02,2677.0,371084.0,JOCHE,435.0
2024-05-02,2678.0,371100.0,LEHANDIL,435.0
2024-05-02,2679.0,371182.0,WATER PORT,435.0
2024-05-02,2680.0,371165.0,AGUA GEL,435.0
2024-05-02,2681.0,371174.0,WATER AIDE,435.0
2024-05-02,2682.0,371189.0,A & D,435.0
2024-05-02,2683.0,371166.0,RLM BUSTAMANTE,435.0
2024-05-02,2684.0,371176.0,CRYSTAL DICE,435.0
