MATCH_LEVEL,MATCH_TYPE,CRB_NO,CRB_CLIENT_NAME,CRB_TOTAL_AMOUNT,CRB_SI_NO,CRB_DATE,SAASANT_REFERENCE_NO,SAASANT_CUSTOMER,SAASANT_TOTAL,SAASANT_QB_INVOICE_ID,SAASANT_QbId,SAASANT_Ref No (Payment No),SAASANT_Payment Date,SAASANT_Customer,SAASANT_Payment method,SAASANT_Deposit To Account Name,SAASANT_Invoice No,SAASANT_Journal No,SAASANT_QB Journal Id,SAASANT_QB Invoice Id,SAASANT_QB Credit Memo Id,SAASANT_Credit Memo No,SAASANT_Amount,SAASANT_Total,SAASANT_Reference No,SAASANT_Memo,SAASANT_Currency Code,SAASANT_Exchange Rate
1,Reference No,1759,BACOLOD CHICKEN INASAL,700.0,371014.0,2024-05-17,1759,"POLARPLUS, INC.",600.0,165110,149882,,2024-05-13,"POLARPLUS, INC.",Cash,Cash and cash equivalents:Cash on Hand,00537,,,165110.0,,,600.0,600.0,1759,,PHP,
1,Reference No,1786,EST NAMNAM INC,2200.0,,2024-05-21,1786,AQUA SPLASH WATER REFILLING STATION,350.0,164995,149893,,2024-05-14,AQUA SPLASH WATER REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand,00013,,,164995.0,,,350.0,350.0,1786,,PHP,
1,Reference No,1692,ALFAMETRO MARKETING INC,157927.0,511.0,2024-05-02,1692,OPTIMIST WATER REFILLING STATION,5200.0,165084,165784,,2024-05-06,OPTIMIST WATER REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Naga,00511,,,165084.0,,,5200.0,5200.0,1692,,PHP,
1,Reference No,1700,BATAAN KIDNEY AND DIALYSIS CENTER,1470.0,368072.0,2024-05-13,1700,CAMSUR CANNING CORP,3500.0,165037,165800,,2024-05-07,CAMSUR CANNING CORP,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Naga,00464,,,165037.0,,,3500.0,3500.0,1700,,PHP,
1,Reference No,1855,CHUNG SY INSEPTUM INC,3000.0,361953.0,2024-05-02,1855,"KAREILA MANAGEMENT CORP. (S & R, NAGA)",2400.0,165165,172251,,2024-05-20,"KAREILA MANAGEMENT CORP. (S & R, NAGA)",Cash,Cash and cash equivalents:Cash on Hand,00593,,,165165.0,,,2400.0,2400.0,1855,,PHP,
1,Reference No,1867,DOMINOS PIZZA CITY CENTER TARLAC,900.0,370360.0,2024-05-16,1867,AQUASTAR BY NAGA AALJINGWATER REFILLING STATION,600.0,,172263,,2024-05-20,AQUASTAR BY NAGA AALJINGWATER REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand,,,,,,,600.0,600.0,1867,,PHP,
1,Reference No,1428,"THE PERFECT BEAUTY VENTURES, INC.",600.0,371995.0,2024-05-30,1428,"THE PERFECT BEAUTY VENTURES, INC.",600.0,318616,335430,,2024-05-30,"THE PERFECT BEAUTY VENTURES, INC.",Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,371995,,,318616.0,,,600.0,600.0,1428,,PHP,
1,Reference No,1427,MR. UBE RICE & NOODLE HOUSE,600.0,371998.0,2024-05-30,1427,MR. UBE RICE & NOODLE HOUSE,600.0,318618,335429,,2024-05-30,MR. UBE RICE & NOODLE HOUSE,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,371998,,,318618.0,,,600.0,600.0,1427,,PHP,
1,Reference No,1431,DECTA PACIFIC EQUITIES,600.0,371952.0,2024-05-30,1431,DECTA PACIFIC EQUITIES,600.0,318579,335433,,2024-05-30,DECTA PACIFIC EQUITIES,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,371952,,,318579.0,,,600.0,600.0,1431,,PHP,
1,Reference No,1430,KFC FOOD CORP.  SW ORTIGAS,500.0,372000.0,2024-05-30,1430,KFC FOOD CORP.  SW ORTIGAS,500.0,320414,335432,,2024-05-30,KFC FOOD CORP.  SW ORTIGAS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,372000,,,320414.0,,,500.0,500.0,1430,,PHP,
