DATE,NO,SI_NO,CLIENT_NAME,TOTAL_AMOUNT,MATCH_LEVEL,MATCHED_SAASANT_INDEX,MATCH_TYPE
2024-05-02,1179,370915.0,MAX'S KITCHEN INC,350.0,,,
2024-05-02,1503,372370.0,ABSOCLEAR,2550.0,,,
2024-05-02,1504,372364.0,ROBINSON SUPERMARKET CORPORATION,550.0,,,
2024-05-02,1505,372358.0,MILLENIAL WRS,2550.0,,,
2024-05-02,1506,372365.0,ZHAIMES WRS,550.0,,,
2024-05-02,1507,372360.0,NIXON LIONN 15 WRS,2550.0,,,
2024-05-02,1508,372352.0,JJA FILTRATION & RS,2550.0,,,
2024-05-02,1509,372345.0,ROYAL SPRING RS,550.0,,,
2024-05-02,1510,372349.0,WATER WHIZ WR,2550.0,,,
2024-05-02,1511,372369.0,PARTNER'S WRS,2550.0,,,
2024-05-02,1512,372371.0,3G AQUA FLESH WRS,550.0,,,
2024-05-02,1513,373357.0,JJMM RESORT,2550.0,,,
2024-05-02,1514,372357.0,GEO PURE WRS,2550.0,,,
2024-05-02,1515,372344.0,RIC WELL PDW,2550.0,,,
2024-05-02,1516,372356.0,DRIPZ DRINKING WATER,2550.0,,,
2024-05-02,1517,372366.0,AKMM WRS,2550.0,,,
2024-05-02,1518,372362.0,WATER SOURCE FOR HAVEN,550.0,,,
2024-05-02,1519,372373.0,HAVEN HOTEL,550.0,,,
2024-05-02,1520,373372.0,HAVEN HOTEL,550.0,,,
2024-05-02,1521,372355.0,PASIGUEÑO WRS,550.0,,,
2024-05-02,1522,372368.0,ANULING ILAYA NEW WATER SYSTEM,1100.0,,,
2024-05-02,1523,372363.0,QUATTRO BAMBINA WRS,2550.0,,,
2024-05-02,1524,372351.0,AQUA ANULING WRS,550.0,,,
2024-05-02,1525,372354.0,WELL OF LIFE PWS,2550.0,,,
2024-05-02,1526,272354.0,UNICA BIDA PWRS,2550.0,,,
2024-05-02,1527,372347.0,PALOCPOC WATERWORKS ASSN.,2200.0,,,
2024-05-02,1528,372350.0,AQUA SERV,550.0,,,
2024-05-02,1529,372361.0,LIELEX WRS,2550.0,,,
2024-05-02,1530,372348.0,LELIES WATER SUPPLY,2550.0,,,
2024-05-02,1531,372376.0,NANAY DORIES,550.0,,,
2024-05-02,1532,372375.0,LESLIES RIDGE,550.0,,,
2024-05-02,1533,372374.0,LESLIES RESTAURANT,550.0,,,
2024-05-02,1534,373380.0,LE ANTONIO'S FARM,500.0,,,
2024-05-02,1535,373379.0,RAMOS RESIDENCE PRIVATE RESORT,500.0,,,
2024-05-02,1536,373376.0,SONYAS GARDEN,1500.0,,,
2024-05-02,1537,373377.0,ZEN ZEN,500.0,,,
2024-05-02,1538,373378.0,QUEEN ENGLISH GARDEN,500.0,,,
2024-05-02,1539,373375.0,ADEL'S PRODUCT,500.0,,,
2024-05-02,1540,373381.0,RESTO KELUAGA,500.0,,,
2024-05-02,730481,371160.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,,,
2024-05-02,730484,,VILLAGES WATER SUPPLY SYSTEM INC,120.0,,,
2024-05-02,730487,371161.0,VILLAGES WATER SUPPLY SYSTEM INC,600.0,,,
2024-05-02,2651,371078.0,JOY,435.0,,,
2024-05-02,2652,371096.0,WIAN,435.0,,,
2024-05-02,2653,371157.0,SPLASHING,435.0,,,
2024-05-02,2654,371077.0,MINATSU,435.0,,,
2024-05-02,2655,373736.0,CHEL-VIN,435.0,,,
2024-05-02,2656,371089.0,SPARKLEE,435.0,,,
2024-05-02,2657,371080.0,SUNLIGHT SPRING,435.0,,,
2024-05-02,2658,371079.0,ANGEL FRESH,435.0,,,
2024-05-02,2659,371154.0,MADIE,435.0,,,
2024-05-02,2660,371082.0,ZANA Q,435.0,,,
2024-05-02,2661,373737.0,RAJ SPARKLING,435.0,,,
2024-05-02,2662,371092.0,ALMARES,435.0,,,
2024-05-02,2663,371095.0,GISELLE,435.0,,,
2024-05-02,2664,371091.0,H5O AQUA TORCH,435.0,,,
2024-05-02,2665,371094.0,WATER WONDER,435.0,,,
2024-05-02,2666,373738.0,JADE,435.0,,,
2024-05-02,2667,371083.0,RAYWORLD,435.0,,,
2024-05-02,2668,373739.0,PURESOL,435.0,,,
2024-05-02,2669,371098.0,AQUA JELOU,435.0,,,
2024-05-02,2670,371099.0,7 MILES,435.0,,,
2024-05-02,2671,371093.0,AQUA ROSE,435.0,,,
2024-05-02,2672,371156.0,JP SQUARE,435.0,,,
2024-05-02,2673,371151.0,ZEB,435.0,,,
2024-05-02,2674,371085.0,TRIS WATER,435.0,,,
2024-05-02,2675,371090.0,LIEN,435.0,,,
2024-05-02,2676,371097.0,OVER PLOWING,435.0,,,
2024-05-02,2677,371084.0,JOCHE,435.0,,,
2024-05-02,2678,371100.0,LEHANDIL,435.0,,,
2024-05-02,2679,371182.0,WATER PORT,435.0,,,
2024-05-02,2680,371165.0,AGUA GEL,435.0,,,
2024-05-02,2681,371174.0,WATER AIDE,435.0,,,
2024-05-02,2682,371189.0,A & D,435.0,,,
2024-05-02,2683,371166.0,RLM BUSTAMANTE,435.0,,,
2024-05-02,2684,371176.0,CRYSTAL DICE,435.0,,,
2024-05-02,2685,371180.0,SPRING DROPS,435.0,,,
2024-05-02,2686,371185.0,BIO-J8,435.0,,,
2024-05-02,726745,361863.0,RIZAL DIALYSIS & WELLNESS CENTER,1800.0,,,
2024-05-02,726746,365944.0,ANTIPOLO DOCTORS INC,1500.0,,,
2024-05-02,726747,361847.0,ANTIPOLO DOCTORS INC,1500.0,,,
2024-05-02,2801,371487.0,SAN ANDRES VOCATIONAL SCHOOL DEEPWELL,500.0,,,
2024-05-02,2802,371488.0,M/V WRS DEEPWELL,450.0,,,
2024-05-02,2803,371489.0,AQUA DHENSKY WRS,450.0,,,
2024-05-02,2804,371491.0,CRYSTALLINE WRS,450.0,,,
2024-05-02,2805,371492.0,RIVERSIDE WRS,450.0,,,
2024-05-02,2806,371493.0,HIDDEN GARDEN SPRING ALKALINE,450.0,,,
2024-05-02,2807,371494.0,ISLAND SPRING WRS,450.0,,,
2024-05-02,2808,371495.0,AMARA PURIFIED WRS,450.0,,,
2024-05-02,2809,371496.0,WATER NORTH POINT REFILLING STATION,450.0,,,
2024-05-02,2810,371497.0,APPO WRS,450.0,,,
2024-05-02,2811,371498.0,WELL CHOY'S,450.0,,,
2024-05-02,2812,371499.0,BENTIX WRS,450.0,,,
2024-05-02,2813,371500.0,BERNARDINO'S WRS,450.0,,,
