S.No,QbId,Ref No (Payment No),Payment Date,Customer,Payment method,Deposit To Account Name,Invoice No,Journal No,QB Journal Id,QB Invoice Id,QB Credit Memo Id,Credit Memo No,Amount,Total,Reference No,Memo,Currency Code,Exchange Rate,REFERENCE_NO,TOTAL,CUSTOMER,QB_INVOICE_ID,ORIG_REFERENCE_NO,ORIG_TOTAL,ORIG_CUSTOMER,ORIG_QB_INVOICE_ID,MATCH_LEVEL,MATCHED_CRB_INDEX,MATCH_TYPE
1,126988,,2024-05-09,PROVINCE GOV OF BOHOL,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,19800.0,19800.0,31698,,PHP,,31698,19800.0,PROVINCE GOV OF BOHOL,,31698,19800.0,PROVINCE GOV OF BOHOL,,,,
2,137984,,2024-05-30,PRIMARY PROPERTIES CORP,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,,,,,,,7350.0,7350.0,32950,,PHP,,32950,7350.0,PRIMARY PROPERTIES CORP,,32950,7350.0,PRIMARY PROPERTIES CORP,,,,
3,149286,,2024-05-02,FREEMONT FOODS CORP,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36216,,,149273.0,,,2100.0,2100.0,32037,,PHP,,32037,2100.0,FREEMONT FOODS CORP,149273,32037,2100.0,FREEMONT FOODS CORP,149273.0,,,
4,149287,,2024-05-02,ACQUAVIDA W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36218,,,149275.0,,,700.0,700.0,32038,,PHP,,32038,700.0,ACQUAVIDA W.R.S.,149275,32038,700.0,ACQUAVIDA W.R.S.,149275.0,,,
5,149288,,2024-05-02,EARTH2O W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36217,,,149274.0,,,400.0,400.0,32039,,PHP,,32039,400.0,EARTH2O W.R.S.,149274,32039,400.0,EARTH2O W.R.S.,149274.0,,,
6,149289,,2024-05-02,NICMASTER W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36227,,,149285.0,,,4000.0,4000.0,31763,,PHP,,31763,4000.0,NICMASTER W.R.S.,149285,31763,4000.0,NICMASTER W.R.S.,149285.0,,,
7,149290,,2024-05-02,TASTE 8 CUISINE INC.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36210,,,149267.0,,,1500.0,1500.0,31832,,PHP,,31832,1500.0,TASTE 8 CUISINE INC.,149267,31832,1500.0,TASTE 8 CUISINE INC.,149267.0,,,
8,149291,,2024-05-02,CAHUMAYAN W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36211,,,149268.0,,,400.0,400.0,31833,,PHP,,31833,400.0,CAHUMAYAN W.R.S.,149268,31833,400.0,CAHUMAYAN W.R.S.,149268.0,,,
9,149292,,2024-05-02,2HUB W.R.S.,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36212,,,149269.0,,,400.0,400.0,31834,,PHP,,31834,400.0,2HUB W.R.S.,149269,31834,400.0,2HUB W.R.S.,149269.0,,,
10,149293,,2024-05-02,ESTATE OF LORETO HERNAEZ,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36225,,,149283.0,,,4000.0,4000.0,31835,,PHP,,31835,4000.0,ESTATE OF LORETO HERNAEZ,149283,31835,4000.0,ESTATE OF LORETO HERNAEZ,149283.0,,,
11,149294,,2024-05-02,GIEDAN'S CATERING SERVICES,Cash,Cash and cash equivalents:Cash In bank:CIB BDO CEBU 1472,36213,,,149270.0,,,1500.0,1500.0,31836,,PHP,,31836,1500.0,GIEDAN'S CATERING SERVICES,149270,31836,1500.0,GIEDAN'S CATERING SERVICES,149270.0,,,
